text,language
He didn't heed the warning and it had turned out surprisingly well, English
The rusty nail stood erect angled at a 45-degree angle just waiting for the perfect barefoot to come along, English
Soms is het beter om gewoon weg te lopen van dingen en later terug te komen als je je beter voelt,Nederlands
It turns out you don't need all that stuff you insisted you did, English
Het meer is een eindje hier vandaan,Nederlands
Ik was heel trots op mijn bijnaam tijdens de middelbare school maar vandaag zou ik niet verder van mijn bijnaam kunnen afwijken,Nederlands
Die vinnige bruin volstruis spring oor die lui hond,Afrikaans
De klok op deze blog en de klok op mijn laptop verschillen 1 uur van elkaar,Nederlands
Three generations with six decades of life experience, English
Soms hoef je alleen maar helemaal een idioot van jezelf te maken en het van je af te lachen om te beseffen dat het leven toch niet zo slecht is,Nederlands
Iemand die ik ken heeft recentelijk esdoornsiroop en met boter besmeerde popcorn gecombineerd in de hoop dat het zou smaken als karamellpopcorn. Dat deed het niet en ze raden niemand aan het ook te doen,Nederlands
Verlede Vrydag het ek 'n gemerkte gestreepte blou wurm gesien wat hande met 'n potlood-lizard geskud het,Afrikaans
Ek sien dikwels die tyd 11:11 of 12:34 op horlosies,Afrikaans
'n Pers vark en 'n groen esel het 'n vlieër in die middel van die nag gevlieg en het sonbrand gekry,Afrikaans
His confidence would have been admirable if it wasn't for his stupidity, English
Ja ik denk dat het een goede omgeving is om Engels te leren,Nederlands
She says she has the ability to hear the soundtrack of your life, English
She let the balloon float up into the air with her hopes and dreams, English
As ek nie van iets hou nie sal ek daar wegbly,Afrikaans
He was sitting in a trash can with high street class, English
His seven-layer cake only had six layers, English
Om 'n lys van ewekansige sinne te skryf is moeiliker as wat ek aanvanklik gedink het,Afrikaans
Laat ons almal saam uniek wees totdat ons besef dat ons almal dieselfde is,Afrikaans
Die horlosie binne hierdie blog en die horlosie op my laptop is 1 uur van mekaar verskillend,Afrikaans
Soms is alles wat jy moet doen om jouself heeltemal belaglik te maak en dit af te lag om te besef dat die lewe regtig nie so sleg is nie,Afrikaans
Een liedje kan iemands dag maken of verpesten als ze het laten binnenkomen,Nederlands
Ik heb momenteel 4 vensters open en ik weet niet waarom,Nederlands
Toen ik klein was heeft een autodeur op mijn hand geklapt en ik herinner me het nog behoorlijk levendig,Nederlands
There was coal in his stocking and he was thrilled, English
He decided to live his life by the big beats manifesto, English
At that moment he wasn't listening to music he was living an experience, English
Toe ek klein was het ek 'n motor deur op my hand geslaan en ek onthou dit steeds baie lewendig,Afrikaans
Ek hou daarvan om geroosterde kaas en tuna toebroodjies te eet,Afrikaans
Nothing seemed out of place except the washing machine in the bar, English
Ek was baie trots op my bynaam deur middel van hoërskool maar vandag kan ek nie meer anders as wat my bynaam was nie,Afrikaans
Ik hoor dat Nancy erg mooi is,Nederlands
Als ik iets niet leuk vind blijf ik er weg van,Nederlands
Een paarse varken en een groene ezel vlogen met een vlieger midden in de nacht en eindigden met een zonnebrand,Nederlands
The random sentence generator generated a random sentence about a random sentence, English
Soms is dit beter om net weg te stap van dinge en later weer terug te kom wanneer jy in 'n beter bui is,Afrikaans
Ik wil een onesie kopen maar weet dat het me niet zal staan,Nederlands
Ek het tans 4 vensters oop en ek weet nie hoekom nie,Afrikaans
'n Lied kan 'n mens se dag maak of bederf as hulle dit toelaat om hulle te beïnvloed,Afrikaans
So long and thanks for the fish, English
The fact that there's a stairway to heaven and a highway to hell explains life well, English
Mijn moeder probeert cool te zijn door te zeggen dat ze alle dingen leuk vindt die ik leuk vind,Nederlands
Dit is 'n Japannese pop,Afrikaans
The secret ingredient to his wonderful life was crime, English
Iemand wat ek ken het onlangs Maple Syrup en gebotterde Popcorn gekombineer en gedink dit sou soos karamelpopcorn smaak Dit het nie en hulle beveel nie aan dat ander dit ook doen nie,Afrikaans
Ek hoor dat Nancy baie mooi is,Afrikaans
The truth is that you pay for your lifestyle in hours, English
Die meer is 'n lang pad van hier,Afrikaans
Dit is een Japanse pop,Nederlands
Laten we allemaal uniek zijn totdat we beseffen dat we allemaal hetzelfde zijn,Nederlands
Afgelopen vrijdag zag ik een gestreepte blauwe worm met vlekken de hand schudden met een pootloze hagedis,Nederlands
Ons moet 'n kamer huur vir ons partytjie,Afrikaans
I met an interesting turtle while the song on the radio blasted away, English
We moeten een kamer huren voor ons feest,Nederlands
Ja ek dink dit is 'n goeie omgewing om Engels te leer,Afrikaans
Ik houd van het eten van geroosterde kaas- en tonijnsandwiches,Nederlands
The irony of the situation wasn't lost on anyone in the room, English
Als je van tonijn en tomatensaus houdt probeer dan de twee te combineren. Het is echt niet zo slecht als het klinkt,Nederlands
Een lijst met willekeurige zinnen schrijven is moeilijker dan ik aanvankelijk dacht,Nederlands
This made him feel like an old-style rootbeer float smells, English
The light in his life was actually a fire burning all around him, English
Dit is de laatste willekeurige zin die ik zal schrijven en ik ga halverwege stoppen,Nederlands
My Ma probeer om cool te wees deur te sê dat sy al dieselfde dinge hou as ek,Afrikaans
In the end he realized he could see sound and hear words, English
Ek wil 'n onesie koop maar weet dit sal nie vir my pas nie,Afrikaans
Ik zie vaak de tijd 11:11 of 12:34 op klokken,Nederlands
De snelle bruine vos springt over de luie hond,Nederlands
As jy van tuna en tamatiesous hou probeer om die twee te kombineer Dit is regtig nie so sleg soos dit klink nie,Afrikaans
It was a slippery slope and he was willing to slide all the way to the deepest depths, English
Dit is die laaste ewekansige sin wat ek sal skryf en ek gaan stop mid-sin,Afrikaans
He would only survive if he kept the fire going and he could hear thunder in the distance, English
