text,language
Hij was 100% voor het vasten met haar totdat hij begreep dat dat betekende dat hij niet mocht eten,Nederlands
Ewekansige woorde voor ander ewekansige woorde skep 'n ewekansige sin,Afrikaans
Daar is 'n rede waarom rose doring het,Afrikaans
Hou op om te wag vir uitsonderlike dinge om net te gebeur,Afrikaans
Het zou een betere avond zijn geweest als de jongens naast ons niet in de spetterzone waren,Nederlands
Moet nie op die gebroke glas trap nie,Afrikaans
Die varke was geërger dat hulle hamburgers genoem is,Afrikaans
Een liedje kan iemands dag maken of verpesten als ze het laten binnenkomen,Nederlands
Ek wil 'n onesie koop maar weet dit sal nie vir my pas nie,Afrikaans
Eating eggs on Thursday for choir practice was recommended, English
Hy het die einde van die reënboog gevind en was verbaas oor wat hy daar gevind het,Afrikaans
Die vreemdeling lei die ete,Afrikaans
It's much more difficult to play tennis with a bowling ball than it is to bowl with a tennis ball, English
Hy het opdragte aan sy dogters gebark maar hulle het net met vermaak teruggestaar,Afrikaans
25 jaar later het sy steeds daardie spesifieke oomblik betreur,Afrikaans
Die roestige spyker het regop gestaan en was op 'n 45-grade hoek gekantel net wag vir die perfekte blote voet om verby te kom,Afrikaans
Op daardie oomblik het hy nie na musiek geluister nie hy het 'n ervaring geleef,Afrikaans
Hy het in die donker gefrommel op soek na die ligskakelaar maar toe hy dit uiteindelik gevind het was daar iemand al klaar daar,Afrikaans
Sy praat altyd in 'n harde stem met hom,Afrikaans
He wondered why at 18 he was old enough to go to war but not old enough to buy cigarettes, English
Lightning Paradise was the local hangout joint where the group usually ended up spending the night, English
Mijn moeder probeert cool te zijn door te zeggen dat ze alle dingen leuk vindt die ik leuk vind,Nederlands
At that moment she realized she had a sixth sense, English
Ek verkies om 'n voël te wees eerder as 'n vis,Afrikaans
Sy het die boek baie jare gelede van hom geleen en het dit nog nie teruggebring nie,Afrikaans
You have every right to be angry but that doesn't give you the right to be mean, English
Three years later the coffin was still full of Jello, English
Er zijn weinig dingen beter in het leven dan een stuk taart,Nederlands
Andy loved to sleep on a bed of nails, English
Je kunt geen appels en sinaasappels vergelijken maar wat dacht je van bananen en plantains,Nederlands
Everybody should read Chaucer to improve their everyday vocabulary, English
Sy het die ballon laat opvaar in die lug saam met haar hoop en drome,Afrikaans
He set out for a short walk but now all he could see were mangroves and water were for miles, English
Het moet ergens vijf uur zijn,Nederlands
The efficiency we have at removing trash has made creating trash more acceptable, English
His confidence would have been admirable if it wasn't for his stupidity, English
Moet nooit die bereidwilligheid van die hebsugige om jou onder die bus te gooi onderskat nie,Afrikaans
Ze liet de ballon omhoog de lucht in stijgen met haar hoop en dromen,Nederlands
De messen waren uit en zij was bezig haarne op te scherpen,Nederlands
Hy het die moeilikste les van sy lewe geleer en het die littekens beide fisies en geestelik om dit te bewys,Afrikaans
Zestig-Vier komt om brood vragen,Nederlands
Vleis-kleurige joga-broeke was baie erger as wat hy selfs gevrees het,Afrikaans
Die ou appel skaal op sy gesag,Afrikaans
It was the scarcity that fueled his creativity, English
The door swung open to reveal pink giraffes and red elephants, English
As hy geweet het wat gaan gebeur het hy nooit in die stort gestap nie,Afrikaans
Je realiseert je dat je niet alleen bent terwijl je in je slaapkamer zit en je kuiten masseert na een lange dag touwtrekken met opa Joe in het ziekenhuis,Nederlands
Die golwe het op die oewer geklap dit was 'n pragtige gesig,Afrikaans
Even though he thought the world was flat he didn’t see the irony of wanting to travel around the world, English
Het werd donker en we waren er nog niet,Nederlands
Afgelopen vrijdag zag ik een gestreepte blauwe worm met vlekken de hand schudden met een pootloze hagedis,Nederlands
Hij zou alleen overleven als hij het vuur brandende hield en hij kon in de verte donder horen,Nederlands
Er is een reden waarom rozen doornen hebben,Nederlands
Sy het hom aanbeveel om dadelik terug te kom,Afrikaans
Soms staar ik naar een deur of een muur en vraag ik me af wat deze realiteit is waarom leef ik en waar gaat dit allemaal over,Nederlands
Hij wilde niet naar de tandarts maar ging toch,Nederlands
Uiteindelijk realiseerde hij zich dat hij geluid kon zien en woorden kon horen,Nederlands
Het boek staat voor de tafel,Nederlands
Iguanas were falling out of the trees, English
Kiezen om niets te doen is tenslotte ook een keuze,Nederlands
I’m a living furnace, English
Dit is de laatste willekeurige zin die ik zal schrijven en ik ga halverwege stoppen,Nederlands
Die liggaamspiering het nie presies gegaan soos wat hy verwag het nie,Afrikaans
He was sitting in a trash can with high street class, English
Die lig in sy lewe was eintlik 'n vuur wat rondom hom gebrand het,Afrikaans
I like to leave work after my eight-hour tea-break, English
De willekeurige zin-generator genereerde een willekeurige zin over een willekeurige zin,Nederlands
Het geheime ingrediënt voor zijn geweldige leven was misdaad,Nederlands
Ze renden om de hoek en ontdekten dat ze terug in de tijd waren gereisd,Nederlands
All they could see was the blue water surrounding their sailboat, English
The opportunity of a lifetime passed before him as he tried to decide between a cone or a cup, English
When money was tight he'd get his lunch money from the local wishing well, English
Ik houd van het eten van geroosterde kaas- en tonijnsandwiches,Nederlands
Hij is goed in het eten van augurken en het vertellen van vrouwen over zijn emotionele problemen,Nederlands
Pat ordered a ghost pepper pie, English
Hy het gesweer hy het net sy sushi sien bewe,Afrikaans
Grape jelly was leaking out the hole in the roof, English
The thunderous roar of the jet overhead confirmed her worst fears, English
Verlede Vrydag het ek 'n gemerkte gestreepte blou wurm gesien wat hande met 'n potlood-lizard geskud het,Afrikaans
Daar was kool in sy kouse en hy was opgewonde,Afrikaans
Er kunnen nooit te veel kersen op een ijssundae zijn,Nederlands
Kat is een goed huisdier omdat ze schoon zijn en niet luidruchtig,Nederlands
Ek het 'n interessante skilpad ontmoet terwyl die liedjie op die radio hard gespeel het,Afrikaans
Hy was so besig om te oorweeg of hy kon dat hy nie gestop het om te oorweeg of hy moes nie,Afrikaans
De kans van je leven ging voorbij terwijl hij probeerde te beslissen tussen een hoorntje of een bakje,Nederlands
Laten we allemaal uniek zijn totdat we beseffen dat we allemaal hetzelfde zijn,Nederlands
As you consider all the possible ways to improve yourself and the world you notice John Travolta seems fairly unhappy, English
Je vriendin kocht je favoriete cookie crisp ontbijtgranen maar vergat melk te halen,Nederlands
Everyone was curious about the large white blimp that appeared overnight, English
I’m working on a sweet potato farm, English
She was the type of girl who wanted to live in a pink house, English
Ek dink ek gaan die rooi motor koop of ek gaan die blou een lease,Afrikaans
Hij vroeg zich af waarom hij op 18-jarige leeftijd oud genoeg was om naar de oorlog te gaan maar niet oud genoeg om sigaretten te kopen,Nederlands
Ek is bly om jou donasie te aanvaar enige bedrag sal baie waardeer word,Afrikaans
Dinsdae is gratis as jy 'n gnoom kostuum bring,Afrikaans
The father died during childbirth, English
Hy het die punt bereik waar hy paranoïes was oor om paranoïes te wees,Afrikaans
Soms is het beter om gewoon weg te lopen van dingen en later terug te komen als je je beter voelt,Nederlands
On a scale from one to ten what's your favorite flavor of random grammar, English
If eating three-egg omelets causes weight-gain budgie eggs are a good substitute, English
Bekijk morgen weer ik zal zien of het boek is aangekomen,Nederlands
The green tea and avocado smoothie turned out exactly as would be expected, English
Garlic ice-cream was her favorite, English
The sign said there was road work ahead so he decided to speed up, English
Ek hoor dat Nancy baie mooi is,Afrikaans
In the end he realized he could see sound and hear words, English
Abstractie is vaak een verdieping boven je,Nederlands
Iedereen was bezig dus ging ik alleen naar de film,Nederlands
Hy het 'n verborge voorraad onder die vloerplanke in die agterkamer van die huis gehad,Afrikaans
He colored deep space a soft yellow, English
Hy het die navorsingspapier Vrydag ingedien anders sou hy die klas nie geslaag het nie,Afrikaans
Dit is een Japanse pop,Nederlands
She was sad to hear that fireflies are facing extinction due to artificial light habitat loss and pesticides, English
Vleeskleurige yogabroeken waren veel erger dan hij ooit vreesde,Nederlands
Dit was die beste sandkasteel wat hy ooit gesien het,Afrikaans
Die ewekansige sin generateur het 'n ewekansige sin oor 'n ewekansige sin gegenereer,Afrikaans
Iedere persoon die je kent heeft een andere perceptie van wie je bent,Nederlands
Ze leende het boek van hem vele jaren geleden en heeft het nog niet teruggegeven,Nederlands
Je bent niet zeker of je hem kunt vertrouwen maar bent heel dankbaar dat je een coltrui droeg,Nederlands
Jou vriendin het jou gunsteling koekie-krummels cereal gekoop maar vergeet om melk te kry,Afrikaans
Ze voelde die rilling die de haren op je nek doet rechtstaan toen hij de kamer binnenkwam,Nederlands
The truth is that you pay for your lifestyle in hours, English
Ik wil meer gedetailleerde informatie,Nederlands
The hand sanitizer was actually clear glue, English
Rockmuziek nadert met hoge snelheid,Nederlands
Each person who knows you has a different perception of who you are, English
The lyrics of the song sounded like fingernails on a chalkboard, English
Dit was die tekort wat sy kreatiwiteit aangewakker het,Afrikaans
The Tsunami wave crashed against the raised houses and broke the pilings as if they were toothpicks, English
Ze spreekt altijd in een luide stem tegen hem,Nederlands
She let the balloon float up into the air with her hopes and dreams, English
Op daardie oomblik het sy besef sy het 'n sesde sintuig,Afrikaans
Nothing seemed out of place except the washing machine in the bar, English
Hy het versigtig op die brug gestap wetende dat betowering aan die ander kant gewag het,Afrikaans
Italië is my gunsteling land eintlik beplan ek om twee weke daar volgende jaar deur te bring,Afrikaans
Willekeurige woorden voor andere willekeurige woorden creëren een willekeurige zin,Nederlands
He wondered if it could be called a beach if there was no sand, English
My Ma probeer om cool te wees deur te sê dat sy al dieselfde dinge hou as ek,Afrikaans
Kontroleer weer morgen ek sal kyk of die boek aangekom het,Afrikaans
Toe ek klein was het ek 'n motor deur op my hand geslaan en ek onthou dit steeds baie lewendig,Afrikaans
Most shark attacks occur about 10 feet from the beach since that's where the people are, English
Now I need to ponder my existence and ask myself if I'm truly real, English
Ik wil echt naar mijn werk maar ik ben te ziek om te rijden,Nederlands
Om 'n lys van ewekansige sinne te skryf is moeiliker as wat ek aanvanklik gedink het,Afrikaans
Ze heeft niet gespiekt op de test want dat was niet het juiste om te doen,Nederlands
Sy het uiteindelik verstaan dat rou haar liefde was met geen plek om te gaan nie,Afrikaans
When nobody is around the trees gossip about the people who have walked under them, English
Aardappelpartjes zijn waarschijnlijk niet het beste voor relaties,Nederlands
Mary speelt piano,Nederlands
Erin accidentally created a new universe, English
Als ik iets niet leuk vind blijf ik er weg van,Nederlands
Om niks te kies nie is steeds 'n keuse,Afrikaans
They're playing the piano while flying in the plane, English
It was at that moment that he learned there are certain parts of the body that you should never Nair, English
She wanted a pet platypus but ended up getting a duck and a ferret instead, English
He excelled at firing people nicely, English
Stop waiting for exceptional things to just happen, English
Hy sou net oorleef as hy die vuur aan die gang hou en hy kon donderweer in die verte hoor,Afrikaans
We moeten een kamer huren voor ons feest,Nederlands
I just wanted to tell you I could see the love you have for your child by the way you look at her, English
Ses-en-sestig kom vra vir brood,Afrikaans
Hy het teruggegaan na die video om te sien wat opgeneem was en was geskok oor wat hy gesien het,Afrikaans
Ik ben blij om je donatie te accepteren elk bedrag wordt zeer gewaardeerd,Nederlands
He found a leprechaun in his walnut shell, English
Red is greener than purple for sure, English
Elke persoon wat jou ken het 'n ander persepsie van wie jy is,Afrikaans
The secret ingredient to his wonderful life was crime, English
He is good at eating pickles and telling women about his emotional problems, English
Een lijst met willekeurige zinnen schrijven is moeilijker dan ik aanvankelijk dacht,Nederlands
Hij raakte door zijn geld heen dus moest hij stoppen met pokeren,Nederlands
Niks het uit plek gelyk behalwe die wasmasjien in die kroeg,Afrikaans
Hy het gewonder waarom hy op 18 oud genoeg was om oorlog toe te gaan maar nie oud genoeg om sigarette te koop nie,Afrikaans
The body piercing didn't go exactly as he expected, English
He was sure the Devil created red sparkly glitter, English
De lichaamspiercing verliep niet precies zoals hij had verwacht,Nederlands
In het moment dat ze landde begreep ze waarom dit een doorvliegstaat was,Nederlands
De klok op deze blog en de klok op mijn laptop verschillen 1 uur van elkaar,Nederlands
Hij was op het punt gekomen waarop hij paranoïde was over paranoïa,Nederlands
Sy het haar bes gedoen om hom te help,Afrikaans
Die son het gesak en sy drome ook,Afrikaans
De vreemdeling leidt de maaltijd,Nederlands
Liefde is nie soos pizza nie,Afrikaans
Ik ontmoette een interessante schildpad terwijl het nummer op de radio luid speelde,Nederlands
Almal sê hulle hou van die natuur totdat hulle besef hoe gevaarlik sy kan wees,Afrikaans
She saw no irony asking me to change but wanting me to accept her for who she is, English
Dit gebeur nie dikwels dat jy 'n pap piesang op die straat vind nie,Afrikaans
Als je van tonijn en tomatensaus houdt probeer dan de twee te combineren. Het is echt niet zo slecht als het klinkt,Nederlands
He decided water-skiing on a frozen lake wasn’t a good idea, English
Sy was te kort om oor die heining te sien,Afrikaans
The doll spun around in circles in hopes of coming alive, English
Ek tel my kalorieë maar ek wil regtig nagereg hê,Afrikaans
She traveled because it cost the same as therapy and was a lot more enjoyable, English
Laat ek jou help met jou bagasie,Afrikaans
Wees voorzichtig met dat botermes,Nederlands
Iedereen zegt dat ze van de natuur houden totdat ze beseffen hoe gevaarlijk zij kan zijn,Nederlands
Hij keek één keer naar wat er onder de tafel was en rende er meteen vandaan,Nederlands
Ik hoor dat Nancy erg mooi is,Nederlands
Die geheime bestanddeel van sy wonderlike lewe was misdaad,Afrikaans
Die meer is 'n lang pad van hier,Afrikaans
Dit was 'n gladde helling en hy was bereid om heeltemal af te gly na die diepste dieptes,Afrikaans
Sy verf net met bold kleure sy hou nie van pastelle nie,Afrikaans
Hij tastte in het donker op zoek naar de lichtschakelaar maar toen hij die eindelijk vond was er iemand anders al daar,Nederlands
'n Lied kan 'n mens se dag maak of bederf as hulle dit toelaat om hulle te beïnvloed,Afrikaans
Hulle het om die hoek gehardloop en ontdek dat hulle terug in die tyd gereis het,Afrikaans
It took him a month to finish the meal, English
Natuurlijk houdt ze van haar roze bunny slippers,Nederlands
Ik was heel trots op mijn bijnaam tijdens de middelbare school maar vandaag zou ik niet verder van mijn bijnaam kunnen afwijken,Nederlands
In daardie oomblik het alles verander,Afrikaans
Ze schildert alleen met felle kleuren ze houdt niet van pastels,Nederlands
Ek wil regtig werk gaan maar ek is te siek om te ry,Afrikaans
Ek hou daarvan om geroosterde kaas en tuna toebroodjies te eet,Afrikaans
