text,language
Iedereen was nieuwsgierig naar het grote witte luchtzeil dat opeens verscheen,Nederlands
Meeste haai aanvalle gebeur ongeveer 10 voet van die strand af aangesien dit is waar die mense is,Afrikaans
Dit sou 'n beter aand gewees het as die ouens langs ons nie in die spat zone was nie,Afrikaans
Om eiers op Donderdae vir koor oefening te eet was aanbeveel,Afrikaans
Ze had haar kopje koffie niet gehad en dat maakte alles nog slechter,Nederlands
De plotselinge regenbui spoelde krokodillen de oceaan in,Nederlands
I met an interesting turtle while the song on the radio blasted away, English
Sy het groen lipstiek gedra soos 'n mode-ikoon,Afrikaans
Na die alligator af te weer het Brian steeds die anaconda in die gesig gestaar,Afrikaans
Het was moeilijk voor Mary om toe te geven dat het grootste deel van haar training bestond uit het oefenen van slecht oordeel,Nederlands
Het feit dat er een trap naar de hemel en een snelweg naar de hel is legt het leven goed uit,Nederlands
She had a difficult time owning up to her own crazy self, English
Bekijk morgen weer ik zal zien of het boek is aangekomen,Nederlands
He was so preoccupied with whether or not he could that he failed to stop to consider if he should, English
Hoewel al haar vrienden positief waren dat Mary een zesde zintuig had wist ze dat ze eigenlijk een zevende zintuig had,Nederlands
Agter die venster was 'n weerkaatsing wat net vrees ingeplant het,Afrikaans
I purchased a baby clown from the Russian terrorist black market, English
The virus had powers none of us knew existed, English
Dit het hom laat voel soos wat 'n ou styl rootbier float ruik,Afrikaans
Sy kon nie besluit of die glas half leeg of half vol was nie so sy het dit gedrink,Afrikaans
Stap niet op het gebroken glas,Nederlands
Hij haatte dat hij hield van wat zij haatte aan haat,Nederlands
Hij droeg het chirurgische masker in het openbaar niet om een virus te voorkomen maar om mensen op afstand te houden,Nederlands
He watched the dancing piglets with panda bear tummies in the swimming pool, English
Niemand hou van 'n vark wat lipstiek dra nie,Afrikaans
You realize you're not alone as you sit in your bedroom massaging your calves after a long day of playing tug-of-war with Grandpa Joe in the hospital, English
Drie geslagte met ses dekades van lewenservaring,Afrikaans
Having no hair made him look even hairier, English
Daar is nie genoeg handdoeke in die wêreld om die riool wat uit sy mond vloei te stop nie,Afrikaans
She was amazed by the large chunks of ice washing up on the beach, English
Wysheid word maklik verkry wanneer jy onder die bed verborge met 'n kastrol op jou kop,Afrikaans
Hij besloot zijn leven te leven volgens het grote beats-manifest,Nederlands
As ek nie van iets hou nie sal ek daar wegbly,Afrikaans
Daar was wit-uit toestande in die dorp gevolglik was die paaie onbegaanbaar,Afrikaans
Harrold het selfversekerd gevoel dat niemand ooit sy spioenvlieg sou vermoed nie,Afrikaans
Dit het hom 'n ruk geneem om te besef dat alles wat hy besluit het om nie te verander nie hy eintlik gekies het,Afrikaans
Hy het die diep ruimte 'n sagte geel gekleur,Afrikaans
Het publiek schreeuwt en roept om meer memes,Nederlands
Dit het hom onkant gevang dat die ruimte na gebraai steak geruik het,Afrikaans
Ja ek dink dit is 'n goeie omgewing om Engels te leer,Afrikaans
Die ironie van die situasie was nie verlore op iemand in die kamer nie,Afrikaans
Ik zou de promotie hebben gekregen maar mijn aanwezigheid was niet goed genoeg,Nederlands
Hij eindigde met verbrande vingers door in het vuur van iemand anders te prikken,Nederlands
Hij zou alleen overleven als hij het vuur brandende hield en hij kon in de verte donder horen,Nederlands
Iedere persoon die je kent heeft een andere perceptie van wie je bent,Nederlands
Rockmusiek benader met hoë snelheid,Afrikaans
Daar moes 'n tyd en plek gewees het maar dit was nie,Afrikaans
He picked up trash in his spare time to dump in his neighbor's yard, English
Hij dacht dat een paar stokken dynamiet gemakkelijker waren dan een vislijn om vis te vangen,Nederlands
Sy het in die spieël gekyk en 'n ander persoon gesien,Afrikaans
Iguana's vielen uit de bomen,Nederlands
Today I heard something new and unmemorable, English
Die vader het tydens die bevalling gesterf,Afrikaans
Dit is 'n Japannese pop,Afrikaans
Elke persoon wat jou ken het 'n ander persepsie van wie jy is,Afrikaans
That is an appealing treasure map that I can't read, English
Het boek staat voor de tafel,Nederlands
Toen de asteroïde op aarde afkwam was Becky boos dat haar tandartsafspraak was geannuleerd,Nederlands
The fox in the tophat whispered into the ear of the rabbit, English
Zeg me alsjeblieft dat je niet in een mortuarium werkt,Nederlands
Hij raapte afval op in zijn vrije tijd om het in de tuin van zijn buurman te dumpen,Nederlands
De moordhornet was teleurgesteld over de vooropgestelde ideeën die mensen over hem hadden,Nederlands
Ik ben nooit thuis op zondagen,Nederlands
Hy het die perske geskeer om 'n punt te bewys,Afrikaans
Lightning Paradise was de lokale ontmoetingsplek waar de groep meestal de nacht doorbracht,Nederlands
Op dat moment realiseerde ze zich dat ze een zesde zintuig had,Nederlands
Hy het besluit dat waterski op 'n bevrore meer nie 'n goeie idee was nie,Afrikaans
She finally understood that grief was her love with no place for it to go, English
Hy het teruggegaan na die video om te sien wat opgeneem was en was geskok oor wat hy gesien het,Afrikaans
Na het afschudden van de krokodil moest Brian nog steeds de anaconda onder ogen zien,Nederlands
Het strand was vol met sneeuwluipaarden,Nederlands
You'll see the rainbow bridge after it rains cats and dogs, English
I've traveled all around Africa and still haven't found the gnu who stole my scarf, English
She wore green lipstick like a fashion icon, English
It didn't make sense unless you had the power to eat colors, English
We moeten een kamer huren voor ons feest,Nederlands
Ik zou liever een vogel dan een vis zijn,Nederlands
Peanuts don't grow on trees but cashews do, English
Hy het die punt bereik waar hy paranoïes was oor om paranoïes te wees,Afrikaans
Hy het daarvan gehou om met woorde in die bad te speel,Afrikaans
Ik wilde je gewoon vertellen dat ik de liefde die je voor je kind hebt kon zien aan de manier waarop je naar haar kijkt,Nederlands
He embraced his new life as an eggplant, English
De messen waren uit en zij was bezig haarne op te scherpen,Nederlands
Terwyl hy gewag het vir die stort om op te warm het hy opgemerk dat hy die water se temperatuur kon hoor verander,Afrikaans
Fluffy roze eenhoorns zijn een populair statussymbool onder macho mannen,Nederlands
The worst thing about being at the top of the career ladder is that there's a long way to fall, English
Het zou een betere avond zijn geweest als de jongens naast ons niet in de spetterzone waren,Nederlands
Jy besef jy is nie alleen nie terwyl jy in jou slaapkamer sit en jou kalwers masseer na 'n lang dag van touwtrekker met Oupa Joe in die hospitaal,Afrikaans
25 jaar later betreurde ze nog steeds dat specifieke moment,Nederlands
Doris het daarvan gehou om haar naels op die tafel te tik om almal te irriteer,Afrikaans
Sy sewe-laag koek het net ses lae gehad,Afrikaans
Soms moet jy net opgee en wen deur te bedrieg,Afrikaans
Die roestige spyker het regop gestaan en was op 'n 45-grade hoek gekantel net wag vir die perfekte blote voet om verby te kom,Afrikaans
Ons moet 'n kamer huur vir ons partytjie,Afrikaans
Asseblief sê vir my jy werk nie in 'n lykhuise nie,Afrikaans
Die pop het in sirkels gedraai in die hoop om lewendig te word,Afrikaans
Op een schaal van één tot tien wat is je favoriete smaak van willekeurige grammatica,Nederlands
Joyce genoot ervan om pannenkoeken met ketchup te eten,Nederlands
