text,language
Sy sewe-laag koek het net ses lae gehad,Afrikaans
Dan took the deep dive down the rabbit hole, English
Ze had haar kopje koffie niet gehad en dat maakte alles nog slechter,Nederlands
Warme bier op een koude dag is niet mijn idee van plezier,Nederlands
Hy het die einde van die reënboog gevind en was verbaas oor wat hy daar gevind het,Afrikaans
Die eksterne littekens vertel slegs 'n deel van die verhaal,Afrikaans
Het verraste hem dat de ruimte naar gebraden steak rook,Nederlands
Seek success but always be prepared for random cats, English
He liked to play with words in the bathtub, English
I was starting to worry that my pet turtle could tell what I was thinking, English
"Jason het sy lewe volgens die motto ""Enige iets wat die moeite werd is is die moeite werd om sleg te doen"" geleef",Afrikaans
Ek het my vriend in baba-olie bedek,Afrikaans
Het is moeilijk te begrijpen welke inspanningen hij zou doen om klein te blijven,Nederlands
Die guinea fowl vlieg deur die lug met al die grasie van 'n skilpad,Afrikaans
Dan at de wolken als suikerspin,Nederlands
De kleur van de dakpannen was iets waar het paar nog nooit over had gepraat,Nederlands
Het maakte geen zin tenzij je de kracht had om kleuren te eten,Nederlands
Je realiseert je dat je niet alleen bent terwijl je in je slaapkamer zit en je kuiten masseert na een lange dag touwtrekken met opa Joe in het ziekenhuis,Nederlands
Sarah ran from the serial killer holding a jug of milk, English
Er zijn dagen geweest dat ik wenste gescheiden te zijn van mijn lichaam maar vandaag was niet een van die dagen,Nederlands
Lightning Paradise was die plaaslike kuierplek waar die groep gewoonlik die aand deurgebring het,Afrikaans
Wanneer niemand in de buurt is roddelen de bomen over de mensen die onder hen zijn gelopen,Nederlands
She used her own hair in the soup to give it more flavor, English
Joyce genoot ervan om pannenkoeken met ketchup te eten,Nederlands
Hit me with your pet shark, English
Too many prisons have become early coffins, English
Ze kwamen er vroeg aan en kregen echt goede zitplaatsen,Nederlands
De wervelende lolly had problemen met de poprock-snoepjes,Nederlands
As he waited for the shower to warm he noticed that he could hear water change temperature, English
De verfkwast was boos over de kleur die de kunstenaar had gekozen,Nederlands
Dit is de laatste willekeurige zin die ik zal schrijven en ik ga halverwege stoppen,Nederlands
Shingle color was not something the couple had ever talked about, English
De plannen voor dit weekend omvatten het omzetten van wijn in water,Nederlands
