text,language
Die skutter sê totsiens vir sy liefde,Afrikaans
Ek wil meer gedetailleerde inligting hê,Afrikaans
He is good at eating pickles and telling women about his emotional problems, English
I purchased a baby clown from the Russian terrorist black market, English
Die meer is 'n lang pad van hier,Afrikaans
This made him feel like an old-style rootbeer float smells, English
Ek sien dikwels die tyd 11:11 of 12:34 op horlosies,Afrikaans
The random sentence generator generated a random sentence about a random sentence, English
Er was geen ijs in de vriezer en ze hadden ook geen geld om naar de winkel te gaan,Nederlands
If my calculator had a history it would be more embarrassing than my browser history, English
Joe maakte de suikerkoekjes Susan decoreerde ze,Nederlands
The rusty nail stood erect angled at a 45-degree angle just waiting for the perfect barefoot to come along, English
I just wanted to tell you I could see the love you have for your child by the way you look at her, English
Ze schreef hem een lange brief maar hij heeft het niet gelezen,Nederlands
Die boek is voor die tafel,Afrikaans
Die vreemdeling lei die ete,Afrikaans
One small action would change her life but whether it would be for better or for worse was yet to be determined, English
Twee stoelen waren vacant,Nederlands
Laten we allemaal uniek zijn totdat we beseffen dat we allemaal hetzelfde zijn,Nederlands
Ik tel mijn calorieën maar ik wil echt een dessert,Nederlands
Ek is bly om jou donasie te aanvaar enige bedrag sal baie waardeer word,Afrikaans
Ik zou liever een vogel dan een vis zijn,Nederlands
Ek het gekontroleer om seker te maak dat hy steeds lewendig was,Afrikaans
Ek wil regtig werk gaan maar ek is te siek om te ry,Afrikaans
Tom het 'n klein stukkie tert gekry,Afrikaans
Sy was te kort om oor die heining te sien,Afrikaans
Wag asseblief buite die huis,Afrikaans
Ze spreekt altijd in een luide stem tegen hem,Nederlands
Hij vertelde ons een heel spannend avontuurverhaal,Nederlands
Ek verkies om 'n voël te wees eerder as 'n vis,Afrikaans
The pigs were insulted that they were named hamburgers, English
Wacht alsjeblieft buiten het huis,Nederlands
De snelle bruine vos springt over de luie hond,Nederlands
She let the balloon float up into the air with her hopes and dreams, English
She found his complete dullness interesting, English
Die ou appel skaal op sy gesag,Afrikaans
Moet nie op die gebroke glas trap nie,Afrikaans
Sy het vir hom 'n lang brief geskryf maar hy het dit nie gelees nie,Afrikaans
He didn't heed the warning and it had turned out surprisingly well, English
At that moment he wasn't listening to music he was living an experience, English
Kontroleer weer morgen ek sal kyk of die boek aangekom het,Afrikaans
Het mysterieuze dagboek registreert de stem,Nederlands
Ik ben nooit thuis op zondagen,Nederlands
Die rivier het die gode gesteel,Afrikaans
Laat me je helpen met je bagage,Nederlands
Ek wil 'n onesie koop maar weet dit sal nie vir my pas nie,Afrikaans
They ran around the corner to find that they had traveled back in time, English
Three generations with six decades of life experience, English
As jy van tuna en tamatiesous hou probeer om die twee te kombineer Dit is regtig nie so sleg soos dit klink nie,Afrikaans
Afgelopen vrijdag zag ik een gestreepte blauwe worm met vlekken de hand schudden met een pootloze hagedis,Nederlands
Almal was besig so het ek alleen na die fliek gegaan,Afrikaans
In the end he realized he could see sound and hear words, English
Soms hoef je alleen maar helemaal een idioot van jezelf te maken en het van je af te lachen om te beseffen dat het leven toch niet zo slecht is,Nederlands
Rockmuziek nadert met hoge snelheid,Nederlands
Ze werkt twee banen om rond te komen dat was tenminste haar reden om geen tijd te hebben om met ons mee te doen,Nederlands
Die vinnige bruin volstruis spring oor die lui hond,Afrikaans
Het boek staat voor de tafel,Nederlands
Sy praat altyd in 'n harde stem met hom,Afrikaans
Laat ek jou help met jou bagasie,Afrikaans
Soms is het beter om gewoon weg te lopen van dingen en later terug te komen als je je beter voelt,Nederlands
The opportunity of a lifetime passed before him as he tried to decide between a cone or a cup, English
Ons het baie reën in Junie,Afrikaans
He stepped gingerly onto the bridge knowing that enchantment awaited on the other side, English
De oude appel koestert zijn autoriteit,Nederlands
I met an interesting turtle while the song on the radio blasted away, English
