text,language
Ik heb momenteel 4 vensters open en ik weet niet waarom,Nederlands
At that moment he wasn't listening to music he was living an experience, English
Mary speelt piano,Nederlands
Soms hoef je alleen maar helemaal een idioot van jezelf te maken en het van je af te lachen om te beseffen dat het leven toch niet zo slecht is,Nederlands
This made him feel like an old-style rootbeer float smells, English
Laat ek jou help met jou bagasie,Afrikaans
The beauty of the African sunset disguised the danger lurking nearby, English
Een paarse varken en een groene ezel vlogen met een vlieger midden in de nacht en eindigden met een zonnebrand,Nederlands
So long and thanks for the fish, English
Ze leende het boek van hem vele jaren geleden en heeft het nog niet teruggegeven,Nederlands
Ons moet 'n kamer huur vir ons partytjie,Afrikaans
Hy het vir ons 'n baie opwindende avontuurverhaal vertel,Afrikaans
Een lijst met willekeurige zinnen schrijven is moeilijker dan ik aanvankelijk dacht,Nederlands
Toe ek klein was het ek 'n motor deur op my hand geslaan en ek onthou dit steeds baie lewendig,Afrikaans
Een fonkelende edelsteen is niet genoeg,Nederlands
Het mysterieuze dagboek registreert de stem,Nederlands
The irony of the situation wasn't lost on anyone in the room, English
Ek het gekontroleer om seker te maak dat hy steeds lewendig was,Afrikaans
Mijn moeder probeert cool te zijn door te zeggen dat ze alle dingen leuk vindt die ik leuk vind,Nederlands
Mary speel die klavier,Afrikaans
Three generations with six decades of life experience, English
His confidence would have been admirable if it wasn't for his stupidity, English
She finally understood that grief was her love with no place for it to go, English
Each person who knows you has a different perception of who you are, English
Wag asseblief buite die huis,Afrikaans
Het meer is een eindje hier vandaan,Nederlands
It turns out you don't need all that stuff you insisted you did, English
Die vreemdeling lei die ete,Afrikaans
The random sentence generator generated a random sentence about a random sentence, English
Sy het haar bes gedoen om hom te help,Afrikaans
Als ik iets niet leuk vind blijf ik er weg van,Nederlands
Dit is de laatste willekeurige zin die ik zal schrijven en ik ga halverwege stoppen,Nederlands
De schutter neemt afscheid van zijn liefde,Nederlands
Ek sien dikwels die tyd 11:11 of 12:34 op horlosies,Afrikaans
Toen ik klein was heeft een autodeur op mijn hand geklapt en ik herinner me het nog behoorlijk levendig,Nederlands
Soms is alles wat jy moet doen om jouself heeltemal belaglik te maak en dit af te lag om te besef dat die lewe regtig nie so sleg is nie,Afrikaans
The secret ingredient to his wonderful life was crime, English
Twee stoelen waren vacant,Nederlands
We hebben veel regen in juni,Nederlands
Everyone says they love nature until they realize how dangerous she can be, English
Ek wil 'n onesie koop maar weet dit sal nie vir my pas nie,Afrikaans
